1                                                                                             
5TELTESTCOMPANY     260218                                                                     
623222000025907476425       0000031213WEBC                                                      
627444000042495237822       0000039903PPDD                                                      
623222000021193362647       0000010858TELC                                                      
627444000042617901964       0000015632ARCD                                                      
623444000043428724162       0000012776RCKC                                                      
627333000031474550542       0000008322ARCD                                                      
623555000059160875673       0000003215RCKC                                                      
627222000028938963021       0000049333WEBD                                                      
622111000011133748608       0000012657BOCC                                                      
627222000022114545941       0000044048PPDD                                                      
622111000017240616707       0000000975TELC                                                      
628333000034002660338       0000029531ARCD                                                      
622222000029467766538       0000015612RCKC                                                      
627111000011907032946       0000046010TELD                                                      
623333000031603212805       0000022917TELC                                                      
629111000017591080616       0000037660BOCD                                                      
623333000033387126602       0000001025CCDC                                                      
628555000057171708632       0000020504BOCD                                                      
622555000054887042491       0000047099ARCC                                                      
627555000059900508439       0000003105TELD                                                      
623222000022160577616       0000015350CCDC                                                      
627111000012180698463       0000014047TELD                                                      
623222000028440595331       0000020755CCDC                                                      
629333000039449464742       0000029655PPDD                                                      
622111000017933144943       0000006258WEBC                                                      
629222000029549422609       0000049045WEBD                                                      
622333000037650869040       0000005015RCKC                                                      
627222000028335250305       0000010292WEBD                                                      
622444000041571162555       0000021154WEBC                                                      
628555000053626298518       0000016522BOCD                                                      
622444000044795107661       0000036812ARCC                                                      
628222000022895895736       0000021902CCDD                                                      
622111000019975969770       0000044925ARCC                                                      
629444000041796427375       0000025454ARCD                                                      
622333000039902034704       0000014259ARCC                                                      
628555000054009311827       0000004972ARCD                                                      
623111000016389205144       0000024184PPDC                                                      
627222000025494805606       0000009040TELD                                                      
623222000022947506279       0000042560ARCC                                                      
628333000036895962364       0000015489CCDD                                                      
623444000048459232073       0000040027ARCC                                                      
627111000013168430358       0000003061PPDD                                                      
623555000052301151476       0000017977PPDC                                                      
627222000026845239412       0000027326ARCD                                                      
622333000037575672762       0000014748CCDC                                                      
627444000043904248218       0000003595RCKD                                                      
623222000026333672850       0000024644PPDC                                                      
627111000016674379681       0000030787WEBD                                                      
623222000025642681820       0000022279BOCC                                                      
627555000054347052989       0000002955CCDD                                                      
622333000036168174127       0000020678ARCC                                                      
629444000041301951304       0000004929CCDD                                                      
622333000033992632985       0000008428PPDC                                                      
628222000022408158826       0000035699TELD                                                      
622111000017316759861       0000021066BOCC                                                      
627333000037848222247       0000001409CCDD                                                      
622333000033821180930       0000029372PPDC                                                      
629444000044923150608       0000016698BOCD                                                      
622333000032996613474       0000026172BOCC                                                      
627555000051212115130       0000041593TELD                                                      
623222000026416417829       0000023403ARCC                                                      
628222000023417084170       0000023989ARCD                                                      
622222000023695584204       0000038004PPDC                                                      
628111000013774725198       0000032845WEBD                                                      
622222000028781470214       0000037046TELC                                                      
629222000029182386032       0000037306PPDD                                                      
623333000031321290212       0000016422WEBC                                                      
627444000043391112032       0000030683TELD                                                      
623222000024695034659       0000019127CCDC                                                      
628333000039248415967       0000021812TELD                                                      
622444000046398173086       0000015807WEBC                                                      
627333000036533764844       0000001716ARCD                                                      
622111000015371483612       0000039400BOCC                                                      
627333000036602594688       0000025188PPDD                                                      
622333000035684743113       0000006332WEBC                                                      
629444000045058865691       0000023503ARCD                                                      
622222000027973470979       0000047780TELC                                                      
627333000033069241430       0000017026RCKD                                                      
622444000047390072113       0000002860RCKC                                                      
628111000016942828363       0000041292PPDD                                                      
623444000049195606488       0000020603BOCC                                                      
628111000016613985522       0000031803RCKD                                                      
623333000037814990666       0000006073BOCC                                                      
628555000057262796737       0000008747ARCD                                                      
622111000014016965906       0000017656CCDC                                                      
627333000032699439062       0000045187WEBD                                                      
623111000016258837880       0000033791WEBC                                                      
629333000035464635933       0000049766WEBD                                                      
623333000039256333827       0000029039RCKC                                                      
627555000052488781121       0000045671CCDD                                                      
622111000019459871095       0000047006CCDC                                                      
628222000022329671340       0000049012TELD                                                      
622222000025459323279       0000028452CCDC                                                      
628444000044992313811       0000011810ARCD                                                      
623111000016018072362       0000006478WEBC                                                      
628222000028724636139       0000044591WEBD                                                      
622111000015902695487       0000011061TELC                                                      
627444000047243512703       0000041891TELD                                                      
623444000046969925845       0000010470BOCC                                                      
629444000049219179300       0000038715PPDD                                                      
623111000014035283066       0000029728ARCC                                                      
628444000046435509903       0000004420PPDD                                                      
622111000017397583963       0000041946CCDC                                                      
628444000044169883369       0000006992BOCD                                                      
622333000037353554268       0000034894WEBC                                                      
627333000034279533886       0000014318BOCD                                                      
623111000012715367902       0000049281BOCC                                                      
629111000016539139324       0000048257TELD                                                      
622444000048113641718       0000020685TELC                                                      
628333000031008617193       0000036585CCDD                                                      
622444000041758474706       0000025067TELC                                                      
629444000049151620079       0000025414CCDD                                                      
622444000047358272078       0000023719ARCC                                                      
628333000031232540872       0000017622BOCD                                                      
623444000043631762659       0000026804PPDC                                                      
629333000031876022417       0000015349WEBD                                                      
623555000056219307279       0000047491BOCC                                                      
629444000048697303932       0000003188ARCD                                                      
622333000034233634410       0000020483RCKC                                                      
628111000018138041845       0000000686RCKD                                                      
622111000018778106865       0000028210PPDC                                                      
628111000013097946627       0000011117ARCD                                                      
622222000029657442616       0000044121ARCC                                                      
629444000048230245223       0000035131PPDD                                                      
623444000044794754754       0000041979PPDC                                                      
627444000048704856194       0000040719PPDD                                                      
622111000018586079682       0000047386BOCC                                                      
627222000029961880351       0000049179PPDD                                                      
622222000023203969112       0000041283PPDC                                                      
629222000026068165081       0000011347ARCD                                                      
622555000051899136247       0000033192RCKC                                                      
628555000057312989654       0000029510PPDD                                                      
622333000031590309594       0000021578ARCC                                                      
628222000022361439460       0000028827WEBD                                                      
623555000054940907469       0000008859BOCC                                                      
628444000043975590393       0000011507PPDD                                                      
623555000055240045956       0000049992PPDC                                                      
627111000016206840638       0000038861ARCD                                                      
623111000011605254622       0000012414CCDC                                                      
627333000033241423230       0000008579PPDD                                                      
623333000031241301543       0000036787CCDC                                                      
629444000041356503436       0000027077ARCD                                                      
622333000034988852607       0000016712TELC                                                      
627222000021164941219       0000048086CCDD                                                      
623555000057524110057       0000016027TELC                                                      
627111000018588821402       0000012143ARCD                                                      
623222000028793531627       0000023820BOCC                                                      
627444000049462016928       0000045632PPDD                                                      
622444000048925093870       0000027535WEBC                                                      
628111000016334104647       0000049512PPDD                                                      
622222000027972016326       0000018139WEBC                                                      
628111000015481634799       0000013946ARCD                                                      
622444000043454993169       0000008929WEBC                                                      
629111000015976076824       0000016627CCDD                                                      
623333000038229993196       0000025791PPDC                                                      
628111000013173863570       0000002907TELD                                                      
623111000013800660376       0000030229WEBC                                                      
627555000056635089598       0000031870TELD                                                      
623444000044508365923       0000001841CCDC                                                      
628333000035093734504       0000022454CCDD                                                      
622555000056277879674       0000026998BOCC                                                      
629555000051708127055       0000015405PPDD                                                      
622111000012671153913       0000029732PPDC                                                      
627333000037077358484       0000035632TELD                                                      
622111000016873076311       0000030780RCKC                                                      
627111000013507882816       0000030218ARCD                                                      
623555000053993585193       0000008166BOCC                                                      
628111000017014457373       0000004821CCDD                                                      
622333000031982716322       0000015925PPDC                                                      
627111000017742202559       0000023619WEBD                                                      
622555000055199802316       0000048023ARCC                                                      
627222000026874924200       0000021870RCKD                                                      
623555000052232681075       0000002832RCKC                                                      
628444000043103329753       0000033381PPDD                                                      
623555000055605208698       0000013102WEBC                                                      
629222000023843115420       0000042045TELD                                                      
622555000052295958395       0000025340BOCC                                                      
627111000011857382135       0000004216TELD                                                      
623333000037014720509       0000039982TELC                                                      
627555000053158892848       0000030210WEBD                                                      
623111000015971225625       0000045424TELC                                                      
628444000043507745348       0000012537RCKD                                                      
623222000029652618418       0000033107BOCC                                                      
628333000031578687351       0000021606CCDD                                                      
622444000041647064935       0000020602BOCC                                                      
627111000015009643797       0000009880CCDD                                                      
622111000019933210208       0000000603PPDC                                                      
627111000012209156970       0000048684ARCD                                                      
623111000017447544954       0000042536BOCC                                                      
628111000012964199409       0000045828TELD                                                      
623444000047573718024       0000028299CCDC                                                      
627222000025319873248       0000029762TELD                                                      
623555000054564663156       0000001690RCKC                                                      
629333000036186405505       0000005375CCDD                                                      
623444000042328918655       0000009513PPDC                                                      
629222000026302217603       0000018249TELD                                                      
622333000039615567120       0000021262WEBC                                                      
628111000011727295336       0000040114PPDD                                                      
623444000049719505208       0000049009ARCC                                                      
627555000056257079373       0000023769ARCD                                                      
623222000024033144673       0000024811TELC                                                      
628555000053917662488       0000036189ARCD                                                      
622222000025931713950       0000018550CCDC                                                      
628555000055543265557       0000019759ARCD                                                      
622333000034929621473       0000044345PPDC                                                      
627444000045948772881       0000019217CCDD                                                      
622444000044844099025       0000035560WEBC                                                      
629111000016595432092       0000026622CCDD                                                      
623111000012803683654       0000041266ARCC                                                      
627555000057787381691       0000011810ARCD                                                      
623111000013902947718       0000045105WEBC                                                      
629222000025396489401       0000033014TELD                                                      
623555000056703900714       0000002797WEBC                                                      
627444000042478077831       0000020253PPDD                                                      
622111000014044539239       0000026867TELC                                                      
627111000012488056966       0000031668RCKD                                                      
623444000043428544641       0000028839TELC                                                      
627444000045840919066       0000014847WEBD                                                      
623333000035508738780       0000025624RCKC                                                      
627555000054108133227       0000006898ARCD                                                      
622222000022016650180       0000045116PPDC                                                      
628555000057725242142       0000043428TELD                                                      
622111000018408656214       0000009381CCDC                                                      
627444000043764599059       0000012869PPDD                                                      
623555000057512438035       0000009986WEBC                                                      
628444000045228069193       0000002068ARCD                                                      
623444000044441091691       0000033537ARCC                                                      
629222000028177712748       0000022929PPDD                                                      
623555000056740503004       0000025582WEBC                                                      
627111000012046596054       0000030149WEBD                                                      
622333000036743864260       0000026220RCKC                                                      
629111000014117320322       0000034146ARCD                                                      
622444000044881771264       0000026977TELC                                                      
628333000039838873860       0000009578ARCD                                                      
622111000019057475998       0000015112CCDC                                                      
627222000023662223742       0000019164PPDD                                                      
623444000046328237291       0000048362ARCC                                                      
627555000051342196938       0000008365RCKD                                                      
622333000035549552401       0000017118TELC                                                      
628111000019752076880       0000036518WEBD                                                      
623444000042692961010       0000024081CCDC                                                      
629444000046506171639       0000009566PPDD                                                      
623333000032476479510       0000049519RCKC                                                      
629333000037775623579       0000033840PPDD                                                      
622555000055115117575       0000009496BOCC                                                      
627444000047062916724       0000005654RCKD                                                      
623222000024787802812       0000044083BOCC                                                      
628111000017378565417       0000006234CCDD                                                      
622444000043274604899       0000017419TELC                                                      
628333000035819998795       0000036363CCDD                                                      
623222000023587053679       0000026554TELC                                                      
629333000038237543296       0000019695WEBD                                                      
622222000027337929908       0000033073ARCC                                                      
627555000053620833995       0000037575RCKD                                                      
623555000057966447408       0000008122BOCC                                                      
627333000035501199577       0000040107RCKD                                                      
623111000014810215834       0000047617CCDC                                                      
628444000045793597566       0000001956RCKD                                                      
622222000023188826501       0000018234CCDC                                                      
627222000028998690763       0000031435RCKD                                                      
622222000028999568169       0000018199ARCC                                                      
629333000038348223713       0000038307PPDD                                                      
622222000027980767165       0000027161TELC                                                      
627222000026543307362       0000012478PPDD                                                      
622111000017061176621       0000031685WEBC                                                      
627555000054052333307       0000022852PPDD                                                      
623444000045144276504       0000035551PPDC                                                      
628111000018771570216       0000009723BOCD                                                      
622333000033180413905       0000003691ARCC                                                      
627333000032815665734       0000025520CCDD                                                      
622222000027384720556       0000022747PPDC                                                      
627222000025456172664       0000037221RCKD                                                      
622444000041836694561       0000031002TELC                                                      
627555000051611627315       0000007014PPDD                                                      
623555000058447146396       0000007778WEBC                                                      
628555000052449298900       0000027929ARCD                                                      
622444000047254505282       0000039977BOCC                                                      
627444000042348605552       0000039393ARCD                                                      
623222000026822498840       0000006334BOCC                                                      
628111000016588598095       0000020114CCDD                                                      
622222000028158969444       0000030795CCDC                                                      
629555000055720187043       0000031302BOCD                                                      
623333000036313347916       0000023265PPDC                                                      
629222000021645871712       0000011984WEBD                                                      
622333000038521779593       0000000717PPDC                                                      
627222000021410487890       0000014762TELD                                                      
622333000033650543130       0000039444WEBC                                                      
628111000019218925945       0000023839PPDD                                                      
623555000053429404538       0000045433ARCC                                                      
628444000042553833282       0000017675PPDD                                                      
623555000059569955875       0000028365CCDC                                                      
627444000042812430454       0000010483TELD                                                      
622222000022105254676       0000012085BOCC                                                      
628222000027739260122       0000014556ARCD                                                      
623444000047885191756       0000018105ARCC                                                      
627222000028569675724       0000039629RCKD                                                      
623111000013114041556       0000012111CCDC                                                      
627444000049280551849       0000049374WEBD                                                      
623111000015351926515       0000046829TELC                                                      
627222000024604196855       0000008310CCDD                                                      
623333000033817402825       0000045319BOCC                                                      
627333000036919353259       0000043170CCDD                                                      
622555000053607700138       0000041411ARCC                                                      
628333000032161650045       0000009040BOCD                                                      
622555000051614511671       0000011543ARCC                                                      
629444000048169405974       0000015283PPDD                                                      
622333000037424697881       0000031437PPDC                                                      
628111000019624883230       0000005955RCKD                                                      
623222000022709411258       0000023417WEBC                                                      
629222000022986814809       0000008709RCKD                                                      
623555000053257476050       0000027756TELC                                                      
629555000057022707372       0000038008WEBD                                                      
623333000033697091508       0000022824BOCC                                                      
627222000026304571185       0000028817PPDD                                                      
622222000021493178433       0000048683BOCC                                                      
627444000043898945766       0000041823ARCD                                                      
622333000035637953252       0000038800CCDC                                                      
627333000034872624745       0000020495ARCD                                                      
623444000042564316386       0000012281PPDC                                                      
629333000039871874015       0000010095CCDD                                                      
622444000049844163605       0000032528CCDC                                                      
629111000017134797894       0000017329TELD                                                      
622333000037455187539       0000004269CCDC                                                      
627555000057556648358       0000045368PPDD                                                      
623444000043617225896       0000017849BOCC                                                      
627333000032681705413       0000039920BOCD                                                      
623111000012702202086       0000021215CCDC                                                      
627111000018665993464       0000026763TELD                                                      
622555000059770455609       0000015195ARCC                                                      
629555000055528696464       0000005671PPDD                                                      
623444000047581086351       0000020952CCDC                                                      
627333000037490675204       0000008164WEBD                                                      
622222000028062837146       0000047216ARCC                                                      
627555000052811976855       0000045235RCKD                                                      
623111000018736534705       0000004589WEBC                                                      
628444000047621885647       0000024581RCKD                                                      
623444000042142701102       0000043305CCDC                                                      
627333000037257431514       0000039582WEBD                                                      
622222000022709428390       0000032291PPDC                                                      
629444000047414588977       0000029675ARCD                                                      
622111000011854819755       0000011754WEBC                                                      
628444000042324759008       0000029189WEBD                                                      
622444000045435476678       0000026068RCKC                                                      
627333000032786764004       0000030246ARCD                                                      
623222000028805455787       0000010269ARCC                                                      
628555000052201837139       0000032636WEBD                                                      
623111000012505661289       0000047459CCDC                                                      
628444000042166120462       0000033453CCDD                                                      
622333000036795398332       0000020829BOCC                                                      
628333000039911982117       0000012526WEBD                                                      
623333000039652471620       0000022068PPDC                                                      
629444000044154612778       0000047222WEBD                                                      
623111000014341399735       0000037967RCKC                                                      
628444000042930669996       0000023792WEBD                                                      
623333000036251621070       0000038195TELC                                                      
627333000031794478118       0000033416TELD                                                      
622333000031338509691       0000045847ARCC                                                      
629222000028609409203       0000044960PPDD                                                      
623222000028712960738       0000023243RCKC                                                      
629444000046165561532       0000038748PPDD                                                      
8000500000012780918                                                                          
900000100000500000012780918                                                                    
